home_matches,home_wins,home_draws,home_losses,home_points,home_points_per_match,home_goals_for,home_goals_against,home_goals_for_per_match,home_goals_against_per_match,home_goal_difference,home_home_matches,home_home_wins,home_home_draws,home_home_losses,home_home_goals_for,home_home_goals_against,home_away_matches,home_away_wins,home_away_draws,home_away_losses,home_away_goals_for,home_away_goals_against,home_last10_matches,home_last10_wins,home_last10_draws,home_last10_losses,home_last10_points,home_last10_goals_for,home_last10_goals_against,home_last5_matches,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_points,home_last5_goals_for,home_last5_goals_against,away_matches,away_wins,away_draws,away_losses,away_points,away_points_per_match,away_goals_for,away_goals_against,away_goals_for_per_match,away_goals_against_per_match,away_goal_difference,away_home_matches,away_home_wins,away_home_draws,away_home_losses,away_home_goals_for,away_home_goals_against,away_away_matches,away_away_wins,away_away_draws,away_away_losses,away_away_goals_for,away_away_goals_against,away_last10_matches,away_last10_wins,away_last10_draws,away_last10_losses,away_last10_points,away_last10_goals_for,away_last10_goals_against,away_last5_matches,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_points,away_last5_goals_for,away_last5_goals_against,diff_points_per_match,diff_goals_for_per_match,diff_goals_against_per_match,diff_goal_difference,diff_last5_points,diff_last10_points,diff_last5_goals_for,diff_last10_goals_for,home_prior_matches,away_prior_matches,home_prior_points,away_prior_points
2,1,0,1,3,1.5,5,2,2.5,1.0,3,1,1,0,0,5,1,1,0,0,1,0,1,2,1,0,1,3,5,2,2,1,0,1,3,5,2,2,1,1,0,4,2.0,4,2,2.0,1.0,2,1,1,0,0,3,1,1,0,1,0,1,1,2,1,1,0,4,4,2,2,1,1,0,4,4,2,-0.5,0.5,0.0,1,-1,-1,1,1,2,2,3,4
2,0,0,2,0,0.0,1,7,0.5,3.5,-6,0,0,0,0,0,0,2,0,0,2,1,7,2,0,0,2,0,1,7,2,0,0,2,0,1,7,3,2,1,0,7,2.333333333333333,7,3,2.333333333333333,1.0,4,1,1,0,0,3,1,2,1,1,0,4,2,3,2,1,0,7,7,3,3,2,1,0,7,7,3,-2.333333333333333,-1.8333333333333333,2.5,-10,-7,-7,-6,-6,2,3,0,7
3,0,0,3,0,0.0,2,5,0.6666666666666666,1.6666666666666667,-3,2,0,0,2,1,3,1,0,0,1,1,2,3,0,0,3,0,2,5,3,0,0,3,0,2,5,3,0,0,3,0,0.0,0,6,0.0,2.0,-6,2,0,0,2,0,2,1,0,0,1,0,4,3,0,0,3,0,0,6,3,0,0,3,0,0,6,0.0,0.6666666666666666,-0.3333333333333332,3,0,0,2,2,3,3,0,0
3,1,2,0,5,1.6666666666666667,6,3,2.0,1.0,3,2,0,2,0,3,3,1,1,0,0,3,0,3,1,2,0,5,6,3,3,1,2,0,5,6,3,3,0,1,2,1,0.3333333333333333,2,6,0.6666666666666666,2.0,-4,2,0,1,1,1,3,1,0,0,1,1,3,3,0,1,2,1,2,6,3,0,1,2,1,2,6,1.3333333333333337,1.3333333333333337,-1.0,7,4,4,4,4,3,3,5,1
2,0,0,2,0,0.0,1,6,0.5,3.0,-5,2,0,0,2,1,6,0,0,0,0,0,0,2,0,0,2,0,1,6,2,0,0,2,0,1,6,3,2,1,0,7,2.333333333333333,6,2,2.0,0.6666666666666666,4,1,1,0,0,2,0,2,1,1,0,4,2,3,2,1,0,7,6,2,3,2,1,0,7,6,2,-2.333333333333333,-1.5,2.333333333333333,-9,-7,-7,-5,-5,2,3,0,7
3,1,1,1,4,1.3333333333333333,5,4,1.6666666666666667,1.3333333333333333,1,2,1,1,0,4,1,1,0,0,1,1,3,3,1,1,1,4,5,4,3,1,1,1,4,5,4,3,1,0,2,3,1.0,5,6,1.6666666666666667,2.0,-1,1,1,0,0,2,1,2,0,0,2,3,5,3,1,0,2,3,5,6,3,1,0,2,3,5,6,0.3333333333333332,0.0,-0.6666666666666667,2,1,1,0,0,3,3,4,3
3,3,0,0,9,3.0,6,1,2.0,0.3333333333333333,5,1,1,0,0,1,0,2,2,0,0,5,1,3,3,0,0,9,6,1,3,3,0,0,9,6,1,3,1,1,1,4,1.3333333333333333,3,5,1.0,1.6666666666666667,-2,1,0,0,1,0,3,2,1,1,0,3,2,3,1,1,1,4,3,5,3,1,1,1,4,3,5,1.6666666666666667,1.0,-1.3333333333333337,7,5,5,3,3,3,3,9,4
3,2,0,1,6,2.0,9,5,3.0,1.6666666666666667,4,2,1,0,1,5,4,1,1,0,0,4,1,3,2,0,1,6,9,5,3,2,0,1,6,9,5,3,1,0,2,3,1.0,6,4,2.0,1.3333333333333333,2,2,1,0,1,6,3,1,0,0,1,0,1,3,1,0,2,3,6,4,3,1,0,2,3,6,4,1.0,1.0,0.3333333333333335,2,3,3,3,3,3,3,6,3
3,1,1,1,4,1.3333333333333333,2,2,0.6666666666666666,0.6666666666666666,0,1,0,0,1,0,1,2,1,1,0,2,1,3,1,1,1,4,2,2,3,1,1,1,4,2,2,3,1,0,2,3,1.0,2,5,0.6666666666666666,1.6666666666666667,-3,1,0,0,1,1,4,2,1,0,1,1,1,3,1,0,2,3,2,5,3,1,0,2,3,2,5,0.3333333333333332,0.0,-1.0,3,1,1,0,0,3,3,4,3
3,2,1,0,7,2.333333333333333,6,3,2.0,1.0,3,1,1,0,0,3,1,2,1,1,0,3,2,3,2,1,0,7,6,3,3,2,1,0,7,6,3,3,2,0,1,6,2.0,8,6,2.6666666666666665,2.0,2,1,1,0,0,4,0,2,1,0,1,4,6,3,2,0,1,6,8,6,3,2,0,1,6,8,6,0.3333333333333335,-0.6666666666666665,-1.0,1,1,1,-2,-2,3,3,7,6
3,2,1,0,7,2.333333333333333,5,3,1.6666666666666667,1.0,2,2,1,1,0,4,3,1,1,0,0,1,0,3,2,1,0,7,5,3,3,2,1,0,7,5,3,3,2,0,1,6,2.0,4,4,1.3333333333333333,1.3333333333333333,0,2,2,0,0,4,2,1,0,0,1,0,2,3,2,0,1,6,4,4,3,2,0,1,6,4,4,0.3333333333333335,0.3333333333333335,-0.3333333333333332,2,1,1,1,1,3,3,7,6
4,1,0,3,3,0.75,4,8,1.0,2.0,-4,1,0,0,1,1,4,3,1,0,2,3,4,4,1,0,3,3,4,8,4,1,0,3,3,4,8,4,3,1,0,10,2.5,9,3,2.25,0.75,6,2,2,0,0,6,1,2,1,1,0,3,2,4,3,1,0,10,9,3,4,3,1,0,10,9,3,-1.75,-1.25,1.25,-10,-7,-7,-5,-5,4,4,3,10
4,2,0,2,6,1.5,8,9,2.0,2.25,-1,1,1,0,0,4,0,3,1,0,2,4,9,4,2,0,2,6,8,9,4,2,0,2,6,8,9,4,2,1,1,7,1.75,5,4,1.25,1.0,1,2,1,0,1,3,3,2,1,1,0,2,1,4,2,1,1,7,5,4,4,2,1,1,7,5,4,-0.25,0.75,1.25,-2,-1,-1,3,3,4,4,6,7
4,1,1,2,4,1.0,4,10,1.0,2.5,-6,1,0,0,1,0,3,3,1,1,1,4,7,4,1,1,2,4,4,10,4,1,1,2,4,4,10,3,0,0,3,0,0.0,2,9,0.6666666666666666,3.0,-7,1,0,0,1,1,2,2,0,0,2,1,7,3,0,0,3,0,2,9,3,0,0,3,0,2,9,1.0,0.3333333333333333,-0.5,1,4,4,2,2,4,3,4,0
4,2,0,2,6,1.5,5,7,1.25,1.75,-2,2,2,0,0,4,2,2,0,0,2,1,5,4,2,0,2,6,5,7,4,2,0,2,6,5,7,4,3,0,1,9,2.25,12,6,3.0,1.5,6,3,2,0,1,8,5,1,1,0,0,4,1,4,3,0,1,9,12,6,4,3,0,1,9,12,6,-0.75,-1.75,0.25,-8,-3,-3,-7,-7,4,4,6,9
